magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,timestamp,Location
7,8,7,768,117,0.509,17,14,-9.7963,159.596,2022,11,1,1.66742E+12,Solomon Islands
6.9,4,4,735,99,2.229,34,25,-4.9559,100.738,2022,11,0,1.66915E+12,Indonesia
7,3,3,755,147,3.125,18,579,-20.0508,-178.346,2022,11,1,1.66806E+12,Offshore/International Waters
7.3,5,5,833,149,1.865,21,37,-19.2918,-172.129,2022,11,1,1.66851E+12,Tonga
6.6,0,2,670,131,4.998,27,624.464,-25.5948,178.278,2022,11,1,1.66963E+12,Offshore/International Waters
7,4,3,755,142,4.578,26,660,-26.0442,178.381,2022,11,1,1.66932E+12,Offshore/International Waters
6.8,1,3,711,136,4.678,22,630.379,-25.9678,178.363,2022,11,1,1.66971E+12,Offshore/International Waters
6.7,7,6,797,145,1.151,37,20,7.6712,-82.3396,2022,10,1,1.6649E+12,Panama
6.8,8,7,1179,175,2.137,92,20,18.33,-102.913,2022,9,1,1.6639E+12,Mexico
7.6,9,8,1799,271,1.153,69,26.943,18.3667,-103.252,2022,9,1,1.66309E+12,Mexico
6.9,9,9,887,215,0.401,34,10,23.1444,121.307,2022,9,1,1.66372E+12,China
6.5,7,7,756,178,0.43,54,10,23.029,121.348,2022,9,1,1.66243E+12,China
7,7,5,761,192,2.977,45,137,-21.2077,170.239,2022,9,1,1.6623E+12,Offshore/International Waters
7.6,8,8,965,272,3.158,12,116,-6.2237,146.471,2022,9,1,1.66382E+12,Papua New Guinea
6.6,9,8,1043,141,8.454,34,12,29.7263,102.279,2022,9,0,1.66415E+12,China
6.6,7,6,672,68,5.293,34,30,-32.6922,-178.959,2022,8,1,1.66183E+12,Offshore/International Waters
7,9,8,1351,152,5.276,22,33.729,17.5978,120.809,2022,7,1,1.65831E+12,Philippines
6.5,3,2,653,236,1.999,31,622.73,-9.0618,-71.1647,2022,6,0,1.65556E+12,Peru
7.2,7,5,876,144,2.494,40,236,-14.8628,-70.3081,2022,5,1,1.65153E+12,Peru
6.9,2,5,733,127,0.371,45,10,-54.1325,159.027,2022,5,1,1.65235E+12,Offshore/International Waters
6.8,6,5,762,162,1.505,30,220,-23.6141,-66.7236,2022,5,1,1.65307E+12,Chile
